Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Shizusan,Viman Nagar,4.5,1628,1600,"['Japanese', 'Sushi', 'Vietnamese', 'Thai', 'Korean', 'Chinese', 'Asian']"
Mojo Pizza- 2X Toppings,Hinjawadi,4.7,,,"['Pizza', 'Italian', 'Desserts', 'Beverages']"
Prem's,Koregaon Park,4.2,2624,1300,"['North Indian', 'Chinese', 'Continental', 'Salad']"
Ya Basa-The Dhaba,Baner,3.9,,700,"['Seafood', 'North Indian', 'Maharashtrian', 'Chinese', 'Kebab', 'Biryani']"
Prem's,Koregaon Park,4.2,2624,1300,"['North Indian', 'Chinese', 'Continental', 'Salad']"
The House Of Medici - The Westin,Mundhwa,3.9,275,3000,"['Asian', 'Continental']"
Lollapalooza,Pimple Saudagar,4.1,1256,1500,"['North Indian', 'Continental']"
Between Breads,Koregaon Park,4.4,161,500,"['Fast Food', 'Continental']"
Lassi Wassi,Kothrud,4.2,145,150,"['Cafe', 'Fast Food']"
Trikaya,Bavdhan,3.9,1408,2000,"['Chinese', 'Thai', 'Malaysian', 'Indonesian', 'Asian', 'North Indian']"
Brgrmeister,Kharadi,4,216,900,"['Burger', 'American', 'BBQ', 'North Indian']"
Mamagoto,Senapati Bapat Road,4.4,616,2000,"['Thai', 'Chinese', 'Japanese', 'Momos', 'Salad', 'Vietnamese', 'Malaysian']"
Tim Luck Luck,East Street,4.3,474,1000,"['North Indian', 'Chinese', 'Seafood']"
Maskawala & Co.,Kothrud,0,0,250,"['Parsi', 'Fast Food', 'Biryani']"
Ovenstory Pizza,SB Road - Aundh,4,257,,"['Fast Food', 'Italian', 'Pizza']"
Momo's Corrner,Koregaon Park,4.5,669,200,"['Momos', 'Tibetan', 'Beverages']"
Evviva Sky Lounge - Crowne Plaza Pune City Centre,Bund Garden Road,4.1,705,2500,"['Bar Food', 'Kebab', 'Mexican']"
Wadeshwar,FC Road,4,1992,600,"['South Indian', 'Fast Food', 'Street Food']"
MoMo Cafe - Courtyard By Marriott Pune Hinjawadi,Hinjawadi,4.3,791,2500,"['Asian', 'North Indian', 'Continental', 'European', 'Salad']"
Asia Kitchen By Mainland China,Dhole Patil Road,4.6,546,1200,"['Asian', 'Chinese']"
Mulukh,JM Road,4.1,130,700,['Maharashtrian']
Joshi Upahar Gruh,Erandwane,4.2,326,250,"['Fast Food', 'South Indian', 'Street Food']"
WYNKK,Baner,4.4,,1400,"['North Indian', 'Asian', 'Mughlai', 'Bar Food']"
Best Belgian Waffle,Kothrud,3.8,,300,"['Desserts', 'Beverages']"
Chaitanya Paranthas,Viman Nagar,3.7,1097,500,"['North Indian', 'Chinese']"
Oblique Kitchen,Kothrud,4.2,317,1400,"['Fast Food', 'Modern Indian', 'North Indian', 'Desserts']"
Marrakesh,Kalyani Nagar,3.8,1712,800,"['North Indian', 'Lebanese', 'Mediterranean', 'Mughlai']"
Yolkshire,Kothrud,4.2,1496,700,"['Italian', 'Salad', 'Fast Food', 'Beverages']"
"Incognito - Restaurant, Bar & Cafe",Baner,4.3,2107,1500,"['European', 'Italian', 'North Indian', 'Asian', 'Salad', 'Desserts']"
The 1st Brewhouse - The Corinthians,NIBM Road,4.2,2235,2000,"['Finger Food', 'North Indian']"
Kinki,Mundhwa,4,,1700,"['Asian', 'Sushi']"
Jashn E Punjab,Baner,4.1,,,"['North Indian', 'Fast Food']"
Taaareef,Bavdhan,4,,1200,"['North Indian', 'Mughlai', 'Biryani']"
Supreme Corner,JM Road,4,1193,300,"['Street Food', 'Fast Food']"
Hungraze,Bavdhan,0,0,,"['North Indian', 'Fast Food', 'Asian']"
King Burger House,Kharadi,0,0,,"['Burger', 'Fast Food']"
Biryani by KG,Pimpri Chinchwad Area,3.6,252,,['Biryani']
Malgudi Station,Baner,4.1,297,800,"['South Indian', 'North Indian', 'Chinese', 'Biryani', 'Sandwich', 'Desserts', 'Beverages']"
Royal Kitchen,Wadgaon Sheri,0,0,,['North Indian']
Tea Villa Cafe,FC Road,3.9,206,1200,"['Cafe', 'Continental', 'Mediterranean', 'Desserts']"
Mazdana Restaurant & Bar,Camp Area,3.7,,1100,"['Continental', 'North Indian', 'Bar Food', 'Chinese']"
Midnight Kakery,Kothrud,4.3,151,300,"['Bakery', 'Desserts']"
The Momo Panda,Kothrud,4.3,468,250,['Momos']
Kanha Veg,Kondhwa,4,546,550,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Fast Food', 'Desserts', 'Beverages']"
Lotus Court Family Resto Bar,Pimpri,4,483,800,"['Continental', 'Chinese', 'North Indian']"
Shabree Restaurant,FC Road,4.2,985,800,"['Maharashtrian', 'South Indian']"
Urban Tadka,Shivaji Nagar,4.2,,1100,"['North Indian', 'Mughlai', 'Seafood']"
Henny's Gourmet,Wanowrie Kondhwa Area,4.8,1070,300,['Desserts']
Bay Leaf Bistro,Chinchwad,4.1,455,800,"['North Indian', 'Chinese', 'Mexican', 'Italian']"
Raasta Cafe,Baner,4,1856,1400,"['Continental', 'Italian', 'Asian', 'North Indian']"
Levit 8,NIBM Road,4.3,389,1500,"['Continental', 'Asian', 'North Indian']"
Apna Punjab,Magarpatta,3.9,1104,500,"['North Indian', 'Chinese']"
Chopsticks Spice Malabar,Viman Nagar,4,1675,600,"['Chinese', 'North Indian', 'Kerala', 'Mughlai']"
The Egg Break,Chandan Nagar,4.2,,,['Fast Food']
Fresh Bake,Hinjawadi,3.9,,,"['Bakery', 'Chinese']"
PNF Restaurant & Bar,Lonavala,4.4,436,1900,"['North Indian', 'Asian', 'Finger Food']"
Spoonbell,Kothrud,3.9,127,400,"['North Indian', 'Chinese', 'Biryani']"
Largo Pizzeria,Viman Nagar,4.1,2010,600,"['Pizza', 'Fast Food', 'Beverages']"
The Cloud Kitchen,Baner,0,0,,"['Biryani', 'Chinese', 'Fast Food']"
RocoMamas,Kharadi,4.4,391,1200,"['American', 'Burger']"
Rolleat,Kharadi,4.1,,,['Rolls']
Vishnuji Ki Rasoi,Erandwane,3.8,689,500,"['Maharashtrian', 'North Indian']"
Brunch Biryani,Hadapsar,0,0,,['Biryani']
Chinese Factory,Wakad,4,172,,['Chinese']
Shree Sai Pure Veg,Ravet,3.5,100,300,"['Rajasthani', 'North Indian']"
Area 51,Baner,3.8,719,1800,['Finger Food']
Alto Vino - JW Marriott Pune,Senapati Bapat Road,4.4,687,3000,"['Italian', 'Salad']"
Chang's,Viman Nagar,4.1,2144,1000,['Chinese']
KFC,Hinjawadi,3.9,218,450,"['Burger', 'Fast Food']"
Taaareef,Aundh,4.2,1980,1200,"['Biryani', 'North Indian', 'Mughlai', 'Lucknowi']"
Smaaash,Viman Nagar,4.1,218,1800,"['Chinese', 'Italian']"
Chafa Cafe and Studio,Koregaon Park,4.4,268,1000,"['Cafe', 'Salad', 'Healthy Food', 'Sandwich', 'Italian', 'Beverages', 'Desserts']"
Jyoti Pure Veg,Kondhwa,3.9,988,550,"['North Indian', 'South Indian', 'Fast Food']"
Te Amo,Chandan Nagar,4,525,850,"['South Indian', 'Street Food', 'Chinese', 'Fast Food', 'North Indian', 'Beverages']"
The Ganache,Kothrud,4.4,641,300,"['Cafe', 'Desserts']"
Shrinidhi's Hyderabadi Spice,Aundh,3.7,152,800,"['Biryani', 'North Indian', 'Mughlai']"
Kasturi Mastani House,Kothrud,0,0,500,"['Fast Food', 'South Indian', 'Street Food', 'Ice Cream', 'North Indian']"
Qabil-E-Tareef,Pimple Saudagar,4.1,2563,1200,"['Biryani', 'North Indian', 'Seafood', 'Mughlai']"
The Fort Bar & Kitchen,Hadapsar,0,0,1400,"['North Indian', 'Chinese', 'Continental', 'Bar Food']"
Kurtosshhh,Bavdhan,4.3,250,500,"['European', 'Italian', 'Mexican']"
Aamhi Pohekar,Sadashiv Peth,3.8,,100,['Street Food']
World Of Cheese Pizza,Dange Chowk,3.7,,400,"['Pizza', 'Fast Food', 'Italian']"
Madinah Restaurant,Camp Area,3.9,1767,400,"['North Indian', 'Chinese', 'Mughlai']"
Sandwich Express,Koregaon Park,4.2,488,250,"['Sandwich', 'Fast Food']"
Swiss Bakes,Magarpatta,3.7,317,350,"['Bakery', 'Desserts', 'Fast Food', 'Beverages']"
Bird Valley,Wakad,3.8,524,900,"['North Indian', 'Chinese', 'Continental', 'Mughlai', 'Beverages']"
Late Lateef,Aundh,4,549,,"['Mughlai', 'North Indian', 'Kebab', 'Biryani']"
Piccadilly Cafe,Baner,4.1,,850,"['Cafe', 'Fast Food', 'Continental']"
Sheetal Restaurant,Kothrud,3.9,816,900,"['Chinese', 'Mughlai', 'North Indian']"
Playboy Beer Garden,Baner,3.9,1707,1800,"['American', 'Chinese', 'North Indian']"
Athens - The Rooftop Lounge,Kalyani Nagar,0,0,1300,"['North Indian', 'Continental', 'Mediterranean']"
Cafe Goa,Viman Nagar,4.5,679,1100,"['Goan', 'Seafood']"
Aaoji Khhaoji,Khadki,4.5,2244,600,['North Indian']
Local Gastro Bar,Mundhwa,4.2,2445,2000,"['Finger Food', 'North Indian', 'Italian', 'Continental']"
Local Gastro Bar,Mundhwa,4.2,2445,2000,"['Finger Food', 'North Indian', 'Italian', 'Continental']"
Origin Bistro,Pashan,4.4,793,600,"['Continental', 'Italian', 'European', 'Beverages', 'Desserts']"
Dhaba Shaba Veg Bistro,Koregaon Park,4.3,237,1000,"['North Indian', 'Beverages']"
Kulcha Singh,Kharadi,3.5,,200,['North Indian']
Tea Trails Cafe,Aundh,4.3,702,600,"['Beverages', 'Tea', 'Continental', 'Mexican', 'Italian', 'North Indian', 'Fast Food', 'Cafe']"
Kata Kirr,Deccan Gymkhana,4,1786,150,['Street Food']
Cafe Deja Vu,Bavdhan,4.1,282,650,['Fast Food']
Kimchi,Kharadi,4.3,2521,750,"['Chinese', 'Thai', 'Asian']"
Ooolala: All Day Cafe & Bar,Shivaji Nagar,4.1,184,1400,"['Chinese', 'Continental', 'Italian']"
L'Apicio,Aundh,4.4,824,1000,"['Cafe', 'European', 'Mediterranean', 'Continental', 'Salad']"
Classic Rock Cafe & Comedy,Kalyani Nagar,4.3,2919,2000,"['Continental', 'North Indian', 'Asian', 'Pizza']"
Rude Lounge,Viman Nagar,4.1,971,1600,"['North Indian', 'Chinese', 'Fast Food', 'Bar Food']"
Bantoos,Baner,3.9,,1500,"['Italian', 'Asian', 'North Indian', 'Mexican', 'Continental']"
Ostro Multi Cuisine Restaurant,Hinjawadi,4,157,1500,"['North Indian', 'Chinese']"
Ecstasy Bar And Eatery,Kothrud,3.9,631,1500,"['North Indian', 'Chinese', 'Continental']"
Bhadait Misal,Erandwane,4.4,415,150,['Street Food']
Diet_Food_Factory,Kothrud,3.8,76,,"['Healthy Food', 'Salad', 'North Indian', 'Continental', 'Beverages']"
Paratha King,Hinjawadi,3.7,140,250,['North Indian']
Shanghai One,Hadapsar,3.8,46,,['Chinese']
S Kumar Wadewale,Hadapsar,4.3,234,150,['Street Food']
Pune 12,Magarpatta,3.7,48,350,"['North Indian', 'Chinese']"
TRP - The Rooftop Project,MG Road,4.2,358,1200,"['North Indian', 'Asian', 'Italian']"
Gourmet Union - World Cuisine and Bar,Baner,3.9,,800,"['Italian', 'Japanese', 'North Indian', 'Mughlai', 'Chinese']"
Cafe Hours Food & Bookstore Cafe,Wakad,3.9,,300,"['Cafe', 'Chinese', 'South Indian', 'North Indian']"
The Great Kabab Factory - Radisson Blu Hotel,Kharadi,4.5,409,2200,"['Mughlai', 'North Indian']"
Farmaaish,Baner,4,671,1000,"['Biryani', 'North Indian', 'Kebab', 'Mughlai']"
The IT City Bar-B-Q,Hinjawadi,0,0,1200,"['BBQ', 'Continental', 'Italian', 'Momos', 'Sushi']"
Senses - Marriott Suites Pune,Mundhwa,4.3,700,2100,"['Continental', 'Asian', 'North Indian', 'Salad', 'Fast Food', 'Italian', 'Desserts']"
La Sicilia Bistro & Patisserie,Kothrud,4.4,599,1200,"['Salad', 'Continental', 'Italian', 'Mexican', 'Desserts', 'Beverages']"
Aira Restaurant,Fatima Nagar,3.5,40,500,"['North Indian', 'Mughlai', 'Chinese', 'Biryani']"
Kadar Khan's Sheesha,Baner,3.5,,1500,"['North Indian', 'Mughlai', 'Biryani']"
7th Heaven,Baner,4.4,418,400,"['Bakery', 'Desserts', 'Fast Food', 'Beverages']"
Hotel Vijay- The Taste Of Tamil Nadu,Hinjawadi,4.2,409,150,['South Indian']
Hardyz,Kharadi,3.8,,,"['Burger', 'Fast Food']"
Chinese Adda,Magarpatta,3.7,52,350,['Chinese']
Ratri Yatri,Aundh,3.7,209,,['North Indian']
Chef Shanghai,Wadgaon Sheri,4,204,,['Chinese']
Hidden Place - The Hangout,Koregaon Park,4.1,2812,1300,"['Continental', 'North Indian', 'Finger Food', 'Seafood']"
Bhairavee Pure Veg Restaurant,Baner,4.1,921,1100,"['North Indian', 'Chinese', 'Continental', 'Biryani', 'Rolls', 'Desserts', 'Beverages']"
La Pizzeria,Baner,4.1,580,1400,"['Italian', 'Mexican']"
Chitale Bandhu Mithaiwale,Deccan Gymkhana,4.3,767,350,"['Street Food', 'Mithai']"
The Churro Co.,Viman Nagar,0,0,600,"['Cafe', 'Italian', 'Continental', 'Pizza', 'Desserts']"
Supreme Sandwich Corner,Budhwar Peth,4.5,403,300,['Fast Food']
Waffle World,Pimple Nilakh,4.6,169,300,"['Desserts', 'Beverages']"
Yumma Swami,Camp Area,4.5,240,200,['South Indian']
Coffee Nation,Law College Road,4.4,1456,700,"['Cafe', 'Fast Food', 'Beverages']"
KSL Exprs,Aundh,3.8,,400,"['North Indian', 'Biryani', 'Kebab']"
KGN Xprs,Wakad,3.9,363,400,"['Mughlai', 'Chinese', 'Biryani']"
Mr Rabbit's Bar & Burrow,Baner,4.4,621,1800,"['Finger Food', 'Continental', 'European', 'South Indian']"
KSL Biryani House,Aundh,3.7,,,"['Biryani', 'North Indian', 'Mughlai']"
Hotel Al Zaika,Karve Nagar,3.7,439,500,"['North Indian', 'Chinese', 'Biryani']"
Biryani House,SB Road - Aundh,4,297,,"['Mughlai', 'Biryani']"
Arthur's Theme,Koregaon Park,4.3,2683,1300,"['European', 'Italian', 'Salad']"
Post 91 - Infinity Rooftop Restaurant,Baner,3.9,1465,1200,"['Continental', 'Italian', 'North Indian', 'Chinese', 'Mughlai', 'Thai', 'Salad', 'Desserts']"
R Bhagat Tarrachand,Camp Area,3.9,370,600,"['North Indian', 'Chinese']"
The Crunch Affair,Viman Nagar,4.5,396,500,"['Cafe', 'European', 'Desserts']"
LKD | La Kheer Deli,SB Road - Aundh,4.8,741,200,['Desserts']
Olive Wheat Grape,Erandwane,4.2,310,1500,"['Mediterranean', 'Continental']"
Kopasa The Taste Restaurant,Kothrud,0,0,450,"['North Indian', 'Chinese', 'Mughlai']"
95 Pasta N Pizza,Shivaji Nagar,3.7,,500,"['Italian', 'Fast Food']"
Pizzaronee,Pimple Saudagar,3.8,86,,"['Beverages', 'Cafe', 'Coffee', 'Continental', 'Fast Food', 'Italian', 'Pizza', 'Salad']"
Deewan Khana,Balewadi,4.1,262,1400,"['Seafood', 'Maharashtrian']"
Feast - Sheraton Grand,Bund Garden Road,4.4,557,3000,"['North Indian', 'Asian', 'European']"
The Cafè - Hyatt Regency Pune,Viman Nagar,4.3,645,2600,"['North Indian', 'Asian', 'Continental']"
A Taste Of Indore,Wakad,3.8,103,200,['Street Food']
Focravia,Wadgaon Sheri,3.5,0,,['Sandwich']
D'nozzo Chinese Food Hub,Balewadi,3.7,,,['Chinese']
Punjabi Chilly,Viman Nagar,4.1,123,,"['North Indian', 'Chinese']"
Miya Bhai,Wanowrie Kondhwa Area,0,0,,['Biryani']
A Taste Of Indore - Fun Food,Pimple Saudagar,4.3,286,150,['Street Food']
Zura Sizzler Kitchen,Balewadi,0,0,1500,"['Continental', 'Asian', 'Beverages']"
Swarnaa Vegetarian,Warje,3.8,949,600,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Thai', 'Mughlai']"
The Poona Project by PizzaExpress,Viman Nagar,4.5,1213,1500,"['Italian', 'Continental', 'European']"
Cafe 24,Lonavala,4.6,806,2100,"['Continental', 'European', 'Italian', 'North Indian', 'Asian']"
Five Fat Monks,Baner,4.2,614,1000,['Asian']
Three Kitchens Restaurant And Bar,Yerawada,0,0,2000,"['North Indian', 'Asian', 'European']"
Cafe Samosa Corner,Kondhwa,4.3,236,100,['Street Food']
Naayab,Aundh,3.8,289,,"['North Indian', 'Mughlai', 'Biryani']"
Sai Kok-pa Chinese,Baner,3.5,231,400,"['Chinese', 'Fast Food']"
Crème Della,Lonavala,4.2,244,1500,"['North Indian', 'South Indian']"
Sambar Pure Veg,Viman Nagar,4.1,870,300,"['South Indian', 'Chinese']"
Urban Mélange,Katraj,0,0,300,"['Pizza', 'Fast Food']"
Hotel Kaveri,Wagholi,3.9,535,500,['Maharashtrian']
Punjab Canteen,Kothrud,4.2,923,600,['North Indian']
Sabores European Bistro,Shivaji Nagar,4,277,1500,"['European', 'Italian', 'Sandwich', 'Beverages']"
Addah - The O Hotel,Koregaon Park,3.9,1049,2500,['North Indian']
The Sea Secret,JM Road,3.9,,1400,"['Seafood', 'Mangalorean', 'Kerala', 'Goan']"
Akss - India Reimagined,Bund Garden Road,3.7,,1000,"['Modern Indian', 'North Indian']"
Crazy Sizzlers,Shivaji Nagar,0,0,600,"['Chinese', 'Fast Food', 'Italian']"
Shawarma King,Akurdi,4.2,698,350,"['Lebanese', 'Rolls']"
Poona Guest House,Senapati Bapat Road,3.5,,300,['Maharashtrian']
Daisy Dozen by AK,Kharadi,4.3,206,500,"['Cafe', 'Italian']"
Zeera - Conrad Pune,Bund Garden Road,4.3,158,3000,['North Indian']
Chawadi Restaurant,Chinchwad,3.5,317,700,"['North Indian', 'Chinese', 'Seafood']"
Sarjaa,Aundh,3.9,287,1600,"['North Indian', 'Mughlai', 'Beverages']"
Bedekar Tea Stall,Sadashiv Peth,3.9,1235,150,['Street Food']
Kothrud Katta,Kothrud,3.8,55,300,"['Fast Food', 'Beverages']"
Third Wave Coffee Roasters,Koregaon Park,4.3,358,800,"['Cafe', 'Italian']"
Kolhapuri Katta,Bibvewadi,4,546,800,"['Maharashtrian', 'Kebab', 'Biryani', 'Seafood', 'Malwani']"
Shahji's Parantha House,Rasta Peth,4.4,773,500,['North Indian']
Kafe Fusion,Baner,4.4,,700,"['Italian', 'American', 'Desserts']"
Eagle Boys Pizzeria & Cafe,Pimple Saudagar,3.2,,500,"['Pizza', 'Fast Food']"
Kathputli - The Drunken Puppet,Baner,0,0,1000,"['North Indian', 'Continental']"
Buon Cibo- The Italian Cafe,Baner,0,0,700,"['Pizza', 'Italian', 'Continental', 'Desserts', 'Beverages']"
La Gustosa,Kothrud,4.4,1819,1200,['Italian']
Baker's Wave,Ravet,3.7,,300,"['Bakery', 'Fast Food']"
South House,Shivaji Nagar,4.1,359,1000,"['South Indian', 'North Indian', 'Chinese', 'Malwani', 'Fast Food']"
Salad Grills,KP and Kalyani,4.2,531,,"['Healthy Food', 'Salad']"
Reddy's Biryani Zone,Hinjawadi,3.6,389,800,"['Biryani', 'Mughlai', 'North Indian', 'Chinese']"
Wada Culture,Baner,3.9,118,800,['Maharashtrian']
Kwality Foods,Hadapsar,0,0,,"['Chinese', 'Fast Food', 'Biryani']"
Where Else Diner,Viman Nagar,4.4,1887,800,"['Cafe', 'Continental', 'American', 'Parsi', 'Salad']"
Love & Latte,Koregaon Park,4.1,,900,"['Cafe', 'Desserts']"
Kabablo,Pimple Nilakh,3.9,,,"['Kebab', 'Continental', 'North Indian', 'Lucknowi', 'European', 'Middle Eastern']"
Filli Bites,NIBM Road,4,230,300,"['Burger', 'Lebanese', 'Fast Food']"
Ek No. Foodies,NIBM Road,3.9,96,350,"['Street Food', 'Sandwich', 'South Indian', 'North Indian', 'Beverages']"
Community Cafe,Kondhwa,3.3,,600,"['Cafe', 'Continental', 'Italian', 'Beverages']"
The Cliff,Bavdhan,3.9,319,1500,"['North Indian', 'Continental', 'Chinese']"
Wood Fire Grill,Kothrud,3.9,1814,1200,"['North Indian', 'Asian', 'Kebab', 'Seafood', 'Continental', 'Italian', 'Desserts']"
Horn OK Please,FC Road,3.8,1514,1000,"['North Indian', 'Mughlai']"
11 East Street Cafe,East Street,4.1,3865,1600,"['Continental', 'North Indian', 'Seafood', 'Cafe', 'Salad', 'Chinese']"
Nine Square,Yerawada,4.5,337,1000,"['Continental', 'North Indian', 'Italian', 'Asian']"
Nirvighnam,Balewadi,3.6,81,700,"['North Indian', 'South Indian']"
The Havelii,Baner,4.6,,1500,"['North Indian', 'Mughlai', 'Biryani', 'Desserts']"
Amritsari Kulcha Point,Kharadi,3.7,,,['North Indian']
The Coriander Leaf,Kothrud,4,168,1400,"['North Indian', 'Chinese', 'Continental']"
Le Flamington,Kalyani Nagar,4.8,588,600,"['Bakery', 'European']"
Bar Stories,Pimpri,4.2,921,1300,"['Finger Food', 'Momos', 'Chinese', 'Pizza']"
Savali,Nigdi,3.5,450,650,"['Chinese', 'North Indian', 'South Indian']"
KP SQUAR,Mundhwa,4,91,1000,"['North Indian', 'Chinese', 'Continental', 'Finger Food']"
Cakeman,Kalyani Nagar,4.2,247,500,['Bakery']
Chatori Galliyan,Kharadi,3.6,,,"['North Indian', 'South Indian', 'Fast Food', 'Street Food']"
Cake Dior,Koregaon Park,4.4,564,600,"['Bakery', 'Desserts']"
Shaam-E-Awadh,Aundh,4,,650,"['North Indian', 'Mughlai', 'Biryani']"
The Place - Touche The Sizzler,Camp Area,4,1798,1000,"['Continental', 'North Indian', 'Seafood']"
FC Grill House,FC Road,4.1,2008,1200,"['North Indian', 'Continental', 'Italian', 'Chinese', 'Salad']"
Good News Dhaba,Yerawada,4,537,1300,"['North Indian', 'Biryani']"
Khandeshi Swad,Ravet,3.6,,350,"['Maharashtrian', 'North Indian']"
Chizzlers,Pashan,3.6,,950,['Chinese']
Flax,Kalyani Nagar,4.8,126,800,"['Healthy Food', 'Salad', 'Beverages']"
The Urban Kitchen,Magarpatta,3.9,137,1000,"['Continental', 'North Indian', 'Chinese']"
Nashaa,Narhe,3.7,,1000,"['Chinese', 'Burger', 'Pizza', 'North Indian', 'Continental']"
Savera Meals,Baner,4,,,"['Malwani', 'North Indian', 'Chinese', 'Fast Food']"
Kalinga Veg Gourmet Kitchen,Erandwane,4.4,573,1200,"['North Indian', 'European', 'Asian', 'Italian']"
KarolBaug- Dawat-e-Mehfil,Aundh,3.8,116,900,['North Indian']
PBF | Pizzas Burgers & Fries,Pimple Nilakh,4.1,346,,['Fast Food']
Genuine Broaster Chicken,Baner,4,652,1100,"['North Indian', 'Fast Food', 'Chinese', 'Burger', 'Pizza', 'Beverages']"
Godavari Snacks,Magarpatta,3.9,209,,['South Indian']
Sports Bar,Lonavala,4.1,123,1000,['Finger Food']
Raqabdaars,Aundh,3.8,638,800,"['Awadhi', 'Lucknowi', 'North Indian', 'Biryani']"
Hotel Silver Seven,Akurdi,4,396,700,"['North Indian', 'Chinese', 'South Indian', 'Seafood']"
Rose Wood,Dange Chowk,3.7,907,1200,"['Continental', 'North Indian', 'South Indian', 'Salad', 'Street Food', 'Fast Food', 'Italian', 'Asian']"
Uncle's Chinese,Koregaon Park,4.1,2393,750,"['Chinese', 'Thai', 'Asian']"
Hotel Reddy,Kharadi,4,583,500,"['Andhra', 'Biryani']"
Carmine  Radisson Blu Hotel,Kharadi,3.8,158,2000,"['North Indian', 'Italian', 'Continental', 'Seafood', 'Chinese']"
Curry's,Kharadi,3.6,,,"['North Indian', 'Chinese']"
18 Hrs,Wadgaon Sheri,0,0,400,['Chinese']
Hotel Shivendra,Hadapsar,4.1,438,500,"['Maharashtrian', 'Chinese']"
Hotel Chinese Chef,Hadapsar,3.7,,,['Chinese']
FatCook,Baner,4.1,758,800,"['North Indian', 'Italian', 'Chinese', 'Thai']"
Hotel Kaveri,Bibvewadi,3.8,193,500,"['North Indian', 'Maharashtrian']"
Thali & Co.,Sinhgad Road,3.9,138,500,"['North Indian', 'Maharashtrian']"
Fresh Off The Boat,Erandwane,4.3,655,900,"['Chinese', 'Seafood', 'North Indian', 'Beverages']"
RollsKing,Wadgaon Sheri,0,0,400,"['Rolls', 'Fast Food', 'Beverages']"
Rainforest Resto Bar,Viman Nagar,4,1931,1900,"['North Indian', 'Chinese', 'Continental', 'Mughlai', 'Italian', 'Salad', 'Desserts']"
Flying Duck Co.,Baner,4.5,1599,1200,"['Asian', 'European']"
The Blue Plate,Aundh,4.5,810,700,"['Continental', 'Italian', 'Salad']"
Andaground,Baner,4.6,724,600,"['Fast Food', 'Healthy Food']"
Coco - Sushi & Bar,Mundhwa,3.8,334,1900,"['Sushi', 'Asian']"
The Flour Works,Baner,4.2,446,1300,"['European', 'American', 'Bakery', 'Salad']"
Tien,Model Colony,4.1,775,900,"['Cafe', 'Healthy Food', 'Italian', 'Salad', 'Sushi']"
The Saucy Side,Wakad,3.7,,550,['Fast Food']
Urban Rolls,Viman Nagar,3.6,,,"['Rolls', 'Chinese']"
Signature Fine Dining,Viman Nagar,3.9,167,1300,"['North Indian', 'Mughlai', 'Chinese']"
Rollsta,Viman Nagar,4,160,,"['Rolls', 'Beverages', 'Fast Food']"
Purnabramha,Kharadi,4.1,196,700,['Maharashtrian']
Nevale Misal,Chinchwad,4,363,200,['Street Food']
PK Burger & Kabab Point,Camp Area,3.9,215,300,"['Fast Food', 'Kebab']"
Copa Villa,Pimple Nilakh,4.2,185,1200,"['North Indian', 'Continental', 'Asian', 'Italian', 'Cafe', 'Salad']"
Ambrosios,Hinjawadi,3.9,214,300,"['North Indian', 'Biryani']"
